NAME_ENGL,ISO3_CODE,total,value,pillar_num,commitment_num,note,group,group_value,country_url,row_id,x,y,pillar_num_cardinal,pillar_txt,commitment_num_cardinal,commitment_txt_cardinal,fx,fy
Afghanistan,AFG,37.3443653799714,33.1,1,1,NA,Off course,Off course,countries/afg,1,1,32.971443434618415,1,Connectivity and infrastructure,1,ICT Development Index,1,0
Afghanistan,AFG,37.3443653799714,100,1,2,NA,Off course,Leading,countries/afg,1,2,100.24002758413553,1,Connectivity and infrastructure,2,Global Internet Shutdowns,1,0
Afghanistan,AFG,37.3443653799714,NA,1,3,NA,Off course,NA,countries/afg,1,3,NA,1,Connectivity and infrastructure,3,Network Readiness Index,1,0
Afghanistan,AFG,37.3443653799714,NA,2,4,NA,Off course,NA,countries/afg,1,1,NA,2,Rights and freedoms,4,Freedom on the Net,1,0
Afghanistan,AFG,37.3443653799714,6,2,5,NA,Off course,Off course,countries/afg,1,2,7.045601112768054,2,Rights and freedoms,5,Freedom in the World,1,0
Afghanistan,AFG,37.3443653799714,31.62132600639435,2,6,NA,Off course,Off course,countries/afg,1,3,32.07426605318162,2,Rights and freedoms,6,Rule of Law Index,1,0
Afghanistan,AFG,37.3443653799714,98.85931558935361,3,7,NA,Off course,Leading,countries/afg,1,1,100.57531141145544,3,Responsibility and sustainability,7,Global E-Waste Monitor,1,0
Afghanistan,AFG,37.3443653799714,0.57,3,8,NA,Off course,Off course,countries/afg,1,2,2.061227096877992,3,Responsibility and sustainability,8,Global Index on Responsible AI,1,0
Afghanistan,AFG,37.3443653799714,NA,3,9,NA,Off course,NA,countries/afg,1,3,NA,3,Responsibility and sustainability,9,DTI Index,1,0
Afghanistan,AFG,37.3443653799714,18.418646823995317,4,10,NA,Off course,Off course,countries/afg,1,1,19.3279024329116,4,Trust and resilience,10,Global Cybersecurity Index,1,0
Afghanistan,AFG,37.3443653799714,33,4,11,NA,Off course,Off course,countries/afg,1,2,31.396864202804863,4,Trust and resilience,11,Overall Resilience,1,0
Afghanistan,AFG,37.3443653799714,14.53,4,12,NA,Off course,Off course,countries/afg,1,3,16.322895040474833,4,Trust and resilience,12,Accountability Index,1,0
Albania,ALB,62.5009100557254,84.7,1,1,NA,Getting on track,Leading,countries/alb,2,3,85.8982192452997,1,Connectivity and infrastructure,1,ICT Development Index,2,0
Albania,ALB,62.5009100557254,100,1,2,NA,Getting on track,Leading,countries/alb,2,3,99.10961899068207,1,Connectivity and infrastructure,2,Global Internet Shutdowns,2,0
Albania,ALB,62.5009100557254,44.66577864579109,1,3,NA,Getting on track,Off course,countries/alb,2,3,43.10104908748714,1,Connectivity and infrastructure,3,Network Readiness Index,2,0
Albania,ALB,62.5009100557254,NA,2,4,NA,Getting on track,NA,countries/alb,2,3,NA,2,Rights and freedoms,4,Freedom on the Net,2,0
Albania,ALB,62.5009100557254,68,2,5,NA,Getting on track,On track,countries/alb,2,3,69.144411964342,2,Rights and freedoms,5,Freedom in the World,2,0
Albania,ALB,62.5009100557254,48.28477843306903,2,6,NA,Getting on track,Off course,countries/alb,2,3,49.18240794647429,2,Rights and freedoms,6,Rule of Law Index,2,0
Albania,ALB,62.5009100557254,70.34220532319391,3,7,NA,Getting on track,On track,countries/alb,2,3,71.63221043805474,3,Responsibility and sustainability,7,Global E-Waste Monitor,2,0
Albania,ALB,62.5009100557254,4.06,3,8,NA,Getting on track,Off course,countries/alb,2,3,3.8897083741053935,3,Responsibility and sustainability,8,Global Index on Responsible AI,2,0
Albania,ALB,62.5009100557254,NA,3,9,NA,Getting on track,NA,countries/alb,2,3,NA,3,Responsibility and sustainability,9,DTI Index,2,0
Albania,ALB,62.5009100557254,86.5063381552001,4,10,NA,Getting on track,Leading,countries/alb,2,3,86.01851157688102,4,Trust and resilience,10,Global Cybersecurity Index,2,0
Albania,ALB,62.5009100557254,49,4,11,NA,Getting on track,Off course,countries/alb,2,3,48.098789350129664,4,Trust and resilience,11,Overall Resilience,2,0
Albania,ALB,62.5009100557254,69.45,4,12,NA,Getting on track,On track,countries/alb,2,3,71.07814267911017,4,Trust and resilience,12,Accountability Index,2,0
Algeria,DZA,47.0757298297613,80.9,1,1,NA,Off course,Leading,countries/dza,3,3,81.13862691782415,1,Connectivity and infrastructure,1,ICT Development Index,3,0
Algeria,DZA,47.0757298297613,34.908815046687536,1,2,NA,Off course,Off course,countries/dza,3,3,33.517606817101054,1,Connectivity and infrastructure,2,Global Internet Shutdowns,3,0
Algeria,DZA,47.0757298297613,39.2420985175997,1,3,NA,Off course,Off course,countries/dza,3,3,40.17302666034102,1,Connectivity and infrastructure,3,Network Readiness Index,3,0
Algeria,DZA,47.0757298297613,NA,2,4,NA,Off course,NA,countries/dza,3,3,NA,2,Rights and freedoms,4,Freedom on the Net,3,0
Algeria,DZA,47.0757298297613,31,2,5,NA,Off course,Off course,countries/dza,3,3,29.70727560389787,2,Rights and freedoms,5,Freedom in the World,3,0
Algeria,DZA,47.0757298297613,49.40507135258926,2,6,NA,Off course,Off course,countries/dza,3,3,50.406660409625005,2,Rights and freedoms,6,Rule of Law Index,3,0
Algeria,DZA,47.0757298297613,73.38403041825094,3,7,NA,Off course,On track,countries/dza,3,3,74.31164595462778,3,Responsibility and sustainability,7,Global E-Waste Monitor,3,0
Algeria,DZA,47.0757298297613,2.66,3,8,NA,Off course,Off course,countries/dza,3,3,0.9634063111990692,3,Responsibility and sustainability,8,Global Index on Responsible AI,3,0
Algeria,DZA,47.0757298297613,58.229166666666664,3,9,NA,Off course,Getting on track,countries/dza,3,3,57.974553132119276,3,Responsibility and sustainability,9,DTI Index,3,0
Algeria,DZA,47.0757298297613,66.02384612558048,4,10,NA,Off course,On track,countries/dza,3,3,66.74483771843474,4,Trust and resilience,10,Global Cybersecurity Index,3,0
