NAME_ENGL,ISO3_CODE,total,pillar_num,commitment_num,value,commitment_txt,note,country_url,row_id,x,y,pillar_num_cardinal,commitment_num_cardinal,fx,fy
Afghanistan,AFG,37.3443653799714,1,1,33.1,Indicator 1-1,NA,countries/afg,1,1,33.072427039407195,4,10,1,0
Afghanistan,AFG,37.3443653799714,1,2,18.418646823995317,Indicator 1-2,NA,countries/afg,1,2,17.68099360485425,4,11,2,0
Afghanistan,AFG,37.3443653799714,1,3,NA,Indicator 1-3,NA,countries/afg,1,3,NA,4,12,3,0
Afghanistan,AFG,37.3443653799714,2,4,100,Indicator 2-4,NA,countries/afg,1,1,101.86325507704169,2,4,0,1
Afghanistan,AFG,37.3443653799714,2,5,98.85931558935361,Indicator 2-5,NA,countries/afg,1,2,99.65378091233241,2,5,1,1
Afghanistan,AFG,37.3443653799714,2,6,33,Indicator 2-6,NA,countries/afg,1,3,34.72821858804673,2,6,2,1
Afghanistan,AFG,37.3443653799714,3,7,NA,Indicator 3-7,NA,countries/afg,1,1,NA,1,1,3,1
Afghanistan,AFG,37.3443653799714,3,8,0.57,Indicator 3-8,NA,countries/afg,1,2,-1.425844040066004,1,2,0,2
Afghanistan,AFG,37.3443653799714,3,9,NA,Indicator 3-9,NA,countries/afg,1,3,NA,1,3,1,2
Afghanistan,AFG,37.3443653799714,4,10,31.62132600639435,Indicator 4-10,NA,countries/afg,1,1,33.07836658265862,3,10,2,2
Afghanistan,AFG,37.3443653799714,4,11,6,Indicator 4-11 (FH),NA,countries/afg,1,2,4.540361099876463,3,7,3,2
Afghanistan,AFG,37.3443653799714,4,12,14.53,Indicator 4-12,NA,countries/afg,1,3,14.068022928871214,3,9,0,3
Albania,ALB,62.5009100557254,1,1,84.7,Indicator 1-1,NA,countries/alb,2,3,84.77705007493496,4,10,1,3
Albania,ALB,62.5009100557254,1,2,86.5063381552001,Indicator 1-2,NA,countries/alb,2,3,85.43917083956799,4,11,2,3
Albania,ALB,62.5009100557254,1,3,44.66577864579109,Indicator 1-3,NA,countries/alb,2,3,43.23578162539003,4,12,3,3
Albania,ALB,62.5009100557254,2,4,100,Indicator 2-4,NA,countries/alb,2,3,99.5364602142945,2,4,0,4
Albania,ALB,62.5009100557254,2,5,70.34220532319391,Indicator 2-5,NA,countries/alb,2,3,71.87581585804814,2,5,1,4
Albania,ALB,62.5009100557254,2,6,49,Indicator 2-6,NA,countries/alb,2,3,47.97917473409325,2,6,2,4
Albania,ALB,62.5009100557254,3,7,NA,Indicator 3-7,NA,countries/alb,2,3,NA,1,1,3,4
Albania,ALB,62.5009100557254,3,8,4.06,Indicator 3-8,NA,countries/alb,2,3,2.2189563526213165,1,2,0,5
Albania,ALB,62.5009100557254,3,9,NA,Indicator 3-9,NA,countries/alb,2,3,NA,1,3,1,5
Albania,ALB,62.5009100557254,4,10,48.28477843306903,Indicator 4-10,NA,countries/alb,2,3,46.323287339098194,3,10,2,5
Albania,ALB,62.5009100557254,4,11,68,Indicator 4-11 (FH),NA,countries/alb,2,3,68.48308403789997,3,7,3,5
Albania,ALB,62.5009100557254,4,12,69.45,Indicator 4-12,NA,countries/alb,2,3,70.5538817241788,3,9,0,6
Algeria,DZA,47.0757298297613,1,1,80.9,Indicator 1-1,NA,countries/dza,3,3,80.83865970987827,4,10,1,6
Algeria,DZA,47.0757298297613,1,2,66.02384612558048,Indicator 1-2,NA,countries/dza,3,3,64.90039034781616,4,11,2,6
Algeria,DZA,47.0757298297613,1,3,39.2420985175997,Indicator 1-3,NA,countries/dza,3,3,38.36628243781179,4,12,3,6
Algeria,DZA,47.0757298297613,2,4,34.908815046687536,Indicator 2-4,NA,countries/dza,3,3,33.024089045737796,2,4,0,7
Algeria,DZA,47.0757298297613,2,5,73.38403041825094,Indicator 2-5,NA,countries/dza,3,3,73.23280221946933,2,5,1,7
Algeria,DZA,47.0757298297613,2,6,39,Indicator 2-6,NA,countries/dza,3,3,37.95252588298172,2,6,2,7
